"ISO","Country","Region","rank2015","score2015","rank2016","score2016","rank2017","score2017","rank2018","score2018","rank2019","score2019"
"AFG","Afghanistan","Southern Asia",153,3.575,154,3.36,141,3.794,145,3.632,154,3.203
"ALB","Albania","Central and Eastern Europe",95,4.959,109,4.655,109,4.644,112,4.586,107,4.719
"DZA","Algeria","Middle East and Northern Africa",68,5.605,38,6.355,53,5.872,84,5.295,88,5.211
"AGO","Angola","Sub-Saharan Africa",137,4.033,141,3.866,140,3.795,142,3.795,NA,NA
"ARG","Argentina","Latin America and Caribbean",30,6.574,26,6.65,24,6.599,29,6.388,47,6.086
"ARM","Armenia","Central and Eastern Europe",127,4.35,121,4.36,121,4.376,129,4.321,116,4.559
"AUS","Australia","Australia and New Zealand",10,7.284,9,7.313,10,7.284,10,7.272,11,7.228
"AUT","Austria","Western Europe",13,7.2,12,7.119,13,7.006,12,7.139,10,7.246
"AZE","Azerbaijan","Central and Eastern Europe",80,5.212,81,5.291,85,5.234,87,5.201,90,5.208
"BHR","Bahrain","Middle East and Northern Africa",49,5.96,42,6.218,41,6.087,43,6.105,37,6.199
"BGD","Bangladesh","Southern Asia",109,4.694,110,4.643,110,4.608,115,4.5,125,4.456
"BLR","Belarus","Central and Eastern Europe",59,5.813,61,5.802,67,5.569,73,5.483,81,5.323
"BEL","Belgium","Western Europe",19,6.937,18,6.929,17,6.891,16,6.927,18,6.923
"BEN","Benin","Sub-Saharan Africa",155,3.34,153,3.484,143,3.657,136,4.141,102,4.883
"BTN","Bhutan","Southern Asia",79,5.253,84,5.196,97,5.011,97,5.082,95,5.082
"BOL","Bolivia","Latin America and Caribbean",51,5.89,59,5.822,58,5.823,62,5.752,61,5.779
"BIH","Bosnia and Herzegovina","Central and Eastern Europe",96,4.949,87,5.163,90,5.182,93,5.129,78,5.386
"BWA","Botswana","Sub-Saharan Africa",128,4.332,137,3.974,142,3.766,146,3.59,148,3.488
"BRA","Brazil","Latin America and Caribbean",16,6.983,17,6.952,22,6.635,28,6.419,32,6.3
"BGR","Bulgaria","Central and Eastern Europe",134,4.218,129,4.217,105,4.714,100,4.933,97,5.011
"BFA","Burkina Faso","Sub-Saharan Africa",152,3.587,145,3.739,134,4.032,121,4.424,115,4.587
"BDI","Burundi","Sub-Saharan Africa",157,2.905,157,2.905,154,2.905,156,2.905,145,3.775
"KHM","Cambodia","Southeastern Asia",145,3.819,140,3.907,129,4.168,120,4.433,109,4.7
"CMR","Cameroon","Sub-Saharan Africa",133,4.252,114,4.513,107,4.695,99,4.975,96,5.044
"CAN","Canada","North America",5,7.427,6,7.404,7,7.316,7,7.328,9,7.278
"CAF","Central African Republic","Sub-Saharan Africa",148,3.678,NA,NA,155,2.693,155,3.083,155,3.083
"TCD","Chad","Sub-Saharan Africa",149,3.667,144,3.763,137,3.936,131,4.301,132,4.35
"CHL","Chile","Latin America and Caribbean",27,6.67,24,6.705,20,6.652,25,6.476,26,6.444
"CHN","China","Eastern Asia",84,5.14,83,5.245,79,5.273,86,5.246,93,5.191
"COL","Colombia","Latin America and Caribbean",33,6.477,31,6.481,36,6.357,37,6.26,43,6.125
"COM","Comoros","Sub-Saharan Africa",140,3.956,138,3.956,NA,NA,NA,NA,142,3.973
"COG","Congo (Brazzaville)","Sub-Saharan Africa",139,3.989,127,4.236,124,4.291,114,4.559,103,4.812
"COD","Congo (Kinshasa)","Sub-Saharan Africa",120,4.517,125,4.272,126,4.28,132,4.245,127,4.418
"CRI","Costa Rica","Latin America and Caribbean",12,7.226,14,7.087,12,7.079,13,7.072,12,7.167
"HRV","Croatia","Central and Eastern Europe",62,5.759,74,5.488,77,5.293,82,5.321,75,5.432
"CYP","Cyprus","Western Europe",67,5.689,69,5.546,65,5.621,61,5.762,49,6.046
"CZE","Czech Republic","Central and Eastern Europe",31,6.505,27,6.596,23,6.609,21,6.711,20,6.852
"DNK","Denmark","Western Europe",3,7.527,1,7.526,2,7.522,3,7.555,2,7.6
"DJI","Djibouti","Sub-Saharan Africa",126,4.369,NA,NA,NA,NA,NA,NA,NA,NA
"DOM","Dominican Republic","Latin America and Caribbean",98,4.885,89,5.155,86,5.23,83,5.302,77,5.425
"ECU","Ecuador","Latin America and Caribbean",48,5.975,51,5.976,44,6.008,48,5.973,50,6.028
"EGY","Egypt","Middle East and Northern Africa",135,4.194,120,4.362,104,4.735,122,4.419,137,4.166
"SLV","El Salvador","Latin America and Caribbean",42,6.13,46,6.068,45,6.003,40,6.167,35,6.253
"EST","Estonia","Central and Eastern Europe",73,5.429,72,5.517,66,5.611,63,5.739,55,5.893
"ETH","Ethiopia","Sub-Saharan Africa",122,4.512,115,4.508,119,4.46,127,4.35,134,4.286
"FIN","Finland","Western Europe",6,7.406,5,7.413,5,7.469,1,7.632,1,7.769
"FRA","France","Western Europe",29,6.575,32,6.478,31,6.442,23,6.489,24,6.592
"GAB","Gabon","Sub-Saharan Africa",143,3.896,134,4.121,118,4.465,103,4.758,104,4.799
"GEO","Georgia","Central and Eastern Europe",130,4.297,126,4.252,125,4.286,128,4.34,119,4.519
"DEU","Germany","Western Europe",26,6.75,16,6.994,16,6.951,15,6.965,17,6.985
"GHA","Ghana","Sub-Saharan Africa",114,4.633,124,4.276,131,4.12,108,4.657,98,4.996
"GRC","Greece","Western Europe",102,4.857,99,5.033,87,5.227,79,5.358,82,5.287
"GTM","Guatemala","Latin America and Caribbean",43,6.123,39,6.324,29,6.454,30,6.382,27,6.436
"GIN","Guinea","Sub-Saharan Africa",150,3.656,151,3.607,149,3.507,140,3.964,118,4.534
"HTI","Haiti","Latin America and Caribbean",119,4.518,136,4.028,145,3.603,148,3.582,147,3.597
"HND","Honduras","Latin America and Caribbean",105,4.788,104,4.871,91,5.181,72,5.504,59,5.86
"HKG","Hong Kong","Eastern Asia",72,5.474,75,5.458,NA,NA,76,5.43,76,5.43
"HUN","Hungary","Central and Eastern Europe",104,4.8,91,5.145,75,5.324,69,5.62,62,5.758
"ISL","Iceland","Western Europe",2,7.561,3,7.501,3,7.504,4,7.495,4,7.494
"IND","India","Southern Asia",117,4.565,118,4.404,122,4.315,133,4.19,140,4.015
"IDN","Indonesia","Southeastern Asia",74,5.399,79,5.314,81,5.262,96,5.093,92,5.192
"IRN","Iran","Middle East and Northern Africa",110,4.686,105,4.813,108,4.692,106,4.707,117,4.548
"IRQ","Iraq","Middle East and Northern Africa",112,4.677,112,4.575,117,4.497,117,4.456,126,4.437
"IRL","Ireland","Western Europe",18,6.94,19,6.907,15,6.977,14,6.977,16,7.021
"ISR","Israel","Middle East and Northern Africa",11,7.278,11,7.267,11,7.213,19,6.814,13,7.139
"ITA","Italy","Western Europe",50,5.948,50,5.977,48,5.964,47,6,36,6.223
"CIV","Ivory Coast","Sub-Saharan Africa",151,3.655,139,3.916,128,4.18,107,4.671,99,4.944
"JAM","Jamaica","Latin America and Caribbean",65,5.709,73,5.51,76,5.311,56,5.89,56,5.89
"JPN","Japan","Eastern Asia",46,5.987,53,5.921,51,5.92,54,5.915,58,5.886
"JOR","Jordan","Middle East and Northern Africa",82,5.192,80,5.303,74,5.336,90,5.161,101,4.906
"KAZ","Kazakhstan","Central and Eastern Europe",54,5.855,54,5.919,60,5.819,60,5.79,60,5.809
"KEN","Kenya","Sub-Saharan Africa",125,4.419,122,4.356,112,4.553,124,4.41,121,4.509
"KOS","Kosovo","Central and Eastern Europe",69,5.589,77,5.401,78,5.279,66,5.662,46,6.1
"KWT","Kuwait","Middle East and Northern Africa",39,6.295,41,6.239,39,6.105,45,6.083,51,6.021
"KGZ","Kyrgyzstan","Central and Eastern Europe",77,5.286,85,5.185,98,5.004,92,5.131,86,5.261
"LAO","Laos","Southeastern Asia",99,4.876,102,4.876,NA,NA,110,4.623,105,4.796
"LVA","Latvia","Central and Eastern Europe",89,5.098,68,5.56,54,5.85,53,5.933,53,5.94
"LBN","Lebanon","Middle East and Northern Africa",103,4.839,93,5.129,88,5.225,80,5.358,91,5.197
"LSO","Lesotho","Sub-Saharan Africa",97,4.898,NA,NA,139,3.808,141,3.808,144,3.802
"LBR","Liberia","Sub-Saharan Africa",116,4.571,150,3.622,148,3.533,149,3.495,141,3.975
"LBY","Libya","Middle East and Northern Africa",63,5.754,67,5.615,68,5.525,70,5.566,72,5.525
"LTU","Lithuania","Central and Eastern Europe",56,5.833,60,5.813,52,5.902,50,5.952,42,6.149
"LUX","Luxembourg","Western Europe",17,6.946,20,6.871,18,6.863,17,6.91,14,7.09
